Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Hugo Álvarez,ES,CEL,Midfielder,12,1,5,763,9,372,580,1
Héctor Bellerín,ES,BET,Defender,23,0,22,1714,21,768,1232,0
Héctor Fort,ES,BAR,Defender,7,0,2,320,8,203,259,0
Iago Aspas,ES,CEL,Forward,35,9,10,2716,19,1145,1672,6
Ianis Hagi,RO,ALA,Midfielder,22,0,5,798,13,229,454,3
Ibrahima Koné,ML,ALM,Forward,9,0,0,275,3,52,88,0
Ibrahima Kébé,ML,MIR,Midfielder,4,0,1,114,3,72,93,0
Ibrahima Sow,SN,SEV,Forward,0,0,0,0,0,0,0,0
Iddrisu Baba,GH,ALM,Midfielder,25,0,11,1425,29,647,880,5
Ignasi Miquel,ES,GRA,Defender,34,1,45,2991,32,1537,1950,5
Igor Zubeldia,ES,RSO,Midfielder,30,0,32,2523,43,1735,2023,11
Iker Almena,ES,GIR,Midfielder,0,0,0,0,0,0,0,0
Iker Muniain,ES,ATH,Forward,20,2,0,586,5,378,513,1
Iker Muñoz,ES,OSA,Midfielder,28,4,11,1856,37,970,1262,5
Iker Álvarez,AD,VIL,Goalkeeper,32,0,0,2880,1,789,1141,3
Ilaix Moriba,GN,GET,Midfielder,14,0,4,606,19,201,323,3
Ilias Akhomach,MA,VIL,Forward,2,0,1,157,2,51,99,0
Ilias Kostis,GR,ATM,Defender,0,0,0,0,0,0,0,0
Ilkay Gündogan,DE,BAR,Midfielder,36,5,21,2997,15,2337,2858,5
Imanol García de Albéniz,ES,ATH,Defender,9,0,7,523,5,260,407,2
Isaac Romero,ES,SEV,Forward,14,4,0,1050,28,192,404,2
Francisco Román Alarcón Suárez,ES,BET,Midfielder,29,8,10,2338,31,1335,2076,10
Isi Palazón,ES,RAY,Midfielder,37,4,16,2810,32,1055,1810,8
Ivan Rakitic,HR,NONE,NONE,0,0,0,0,0,0,0,0
Ivo Grbic,HR,SHU,Goalkeeper,9,0,0,772,0,271,365,1
Iván Alejo,ES,CAD,Midfielder,30,0,7,1702,49,304,803,17
Iván Balliu,AL,RAY,Defender,33,0,29,2876,41,1038,1799,4
Iván Cuéllar,ES,MLL,Goalkeeper,1,0,0,90,0,27,41,0
Iván Martín,ES,GIR,Midfielder,36,5,21,2745,27,1604,2016,5
Iván Villar,ES,CEL,Goalkeeper,12,0,0,1015,2,273,377,0
Iza Carcelén,ES,CAD,Defender,35,0,27,2609,16,856,1512,2
Iñaki González,ES,LPA,Midfielder,1,0,0,4,0,4,7,0
Ignacio Peña Sotorres,ES,BAR,Goalkeeper,10,0,0,900,0,251,336,0
Iñaki Rupérez,ES,RSO,Defender,0,0,0,0,0,0,0,0
Iñaki Williams,GH,ATH,Forward,34,12,14,2855,32,856,1571,4
Iñigo Arguibide,ES,OSA,Defender,1,0,0,16,1,3,8,0
Íñigo Martínez,ES,BAR,Defender,20,0,11,1293,10,1118,1255,5
Jacobo Ramón,ES,RMA,Defender,0,0,0,0,0,0,0,0
Jaime Mata,ES,GET,Forward,35,5,17,1790,63,472,783,8
